180	KEMET	A700D187M2R5ATE015	Al electrolytic	2.5	4.08248	0.015	0
180	KEMET	A700D187M2R5ATE018	Al electrolytic	2.5	3.72678	0.018	0
22	KEMET	A700D226M016ATE018	Al electrolytic	16	3.72678	0.018	0
22	KEMET	A700D226M016ATE025	Al electrolytic	16	3.16228	0.025	0
22	KEMET	A700D226M016ATE030	Al electrolytic	16	2.88675	0.03	0
220	KEMET	A700D227M002ATE009	Al electrolytic	2	5.27046	0.009	0
220	KEMET	A700D227M002ATE015	Al electrolytic	2	4.08248	0.015	0
220	KEMET	A700D227M002ATE018	Al electrolytic	2	3.72678	0.018	0
220	KEMET	A700D227M004ATE009	Al electrolytic	4	5.27046	0.009	0
220	KEMET	A700D227M004ATE010	Al electrolytic	4	5	0.01	0
220	KEMET	A700D227M004ATE015	Al electrolytic	4	4.08248	0.015	0
270	KEMET	A700D277M002ATE012	Al electrolytic	2	4.56435	0.012	0
330	KEMET	A700D337M002ATE007	Al electrolytic	2	5.97614	0.007	0
330	KEMET	A700D337M002ATE009	Al electrolytic	2	5.27046	0.009	0
330	KEMET	A700D337M002ATE012	Al electrolytic	2	4.56435	0.012	0
47	KEMET	A700D476M12RATE020	Al electrolytic	12.5	3.53553	0.02	0
47	KEMET	A700D476M12RATE025	Al electrolytic	12.5	3.16228	0.025	0
470	KEMET	A700D477M002ATE005	Al electrolytic	2	7.07107	0.005	0
470	KEMET	A700D477M002ATE006	Al electrolytic	2	6.45497	0.006	0
56	KEMET	A700D566M008ATE015	Al electrolytic	8	4.08248	0.015	0
56	KEMET	A700D566M008ATE018	Al electrolytic	8	3.72678	0.018	0
56	KEMET	A700D566M010ATE015	Al electrolytic	10	4.08248	0.015	0
56	KEMET	A700D566M010ATE018	Al electrolytic	10	3.72678	0.018	0
56	KEMET	A700D566M12RATE020	Al electrolytic	12.5	3.53553	0.02	0
68	KEMET	A700D686M008ATE015	Al electrolytic	8	4.08248	0.015	0
68	KEMET	A700D686M008ATE018	Al electrolytic	8	3.72678	0.018	0
68	KEMET	A700D686M010ATE015	Al electrolytic	10	4.08248	0.015	0
68	KEMET	A700D686M010ATE018	Al electrolytic	10	3.72678	0.018	0
10	KEMET	A700V106M006ATE055	Al electrolytic	6.3	2.21565	0.055	0
10	KEMET	A700V106M008ATE055	Al electrolytic	8	2.21565	0.055	0
10	KEMET	A700V106M010ATE055	Al electrolytic	10	2.21565	0.055	0
10	KEMET	A700V106M016ATE045	Al electrolytic	16	2.44949	0.045	0
10	KEMET	A700V106M016ATE060	Al electrolytic	16	2.12132	0.06	0
10	KEMET	A700V106M12RATE040	Al electrolytic	12.5	2.59808	0.04	0
10	KEMET	A700V106M12RATE055	Al electrolytic	12.5	2.21565	0.055	0
10	KEMET	A700V106M12RATE060	Al electrolytic	12.5	2.12132	0.06	0
100	KEMET	A700V107M002ATE016	Al electrolytic	2	4.10792	0.016	0
100	KEMET	A700V107M002ATE018	Al electrolytic	2	3.87298	0.018	0
100	KEMET	A700V107M002ATE025	Al electrolytic	2	3.28634	0.025	0
100	KEMET	A700V107M002ATE028	Al electrolytic	2	3.10529	0.028	0
100	KEMET	A700V107M004ATE025	Al electrolytic	4	3.28634	0.025	0
100	KEMET	A700V107M004ATE028	Al electrolytic	4	3.10529	0.028	0
100	KEMET	A700V107M006ATE015	Al electrolytic	6.3	4.24264	0.015	0
100	KEMET	A700V107M006ATE018	Al electrolytic	6.3	3.87298	0.018	0
100	KEMET	A700V107M006ATE025	Al electrolytic	6.3	3.28634	0.025	0
15	KEMET	A700V156M016ATE040	Al electrolytic	16	2.59808	0.04	0
15	KEMET	A700V156M12RATE040	Al electrolytic	12.5	2.59808	0.04	0
15	KEMET	A700V156M12RATE045	Al electrolytic	12.5	2.44949	0.045	0
150	KEMET	A700V157M002ATE015	Al electrolytic	2	4.24264	0.015	0
150	KEMET	A700V157M002ATE018	Al electrolytic	2	3.87298	0.018	0
150	KEMET	A700V157M002ATE025	Al electrolytic	2	3.28634	0.025	0
150	KEMET	A700V157M002ATE028	Al electrolytic	2	3.10529	0.028	0
150	KEMET	A700V157M004ATE016	Al electrolytic	4	4.10792	0.016	0
22	KEMET	A700V226M006ATE028	Al electrolytic	6.3	3.10529	0.028	0
22	KEMET	A700V226M006ATE045	Al electrolytic	6.3	2.44949	0.045	0
22	KEMET	A700V226M008ATE028	Al electrolytic	8	3.10529	0.028	0
22	KEMET	A700V226M008ATE045	Al electrolytic	8	2.44949	0.045	0
22	KEMET	A700V226M010ATE028	Al electrolytic	10	3.10529	0.028	0
22	KEMET	A700V226M010ATE045	Al electrolytic	10	2.44949	0.045	0
22	KEMET	A700V226M12RATE030	Al electrolytic	12.5	3	0.03	0
220	KEMET	A700V227M002ATE009	Al electrolytic	2	5.47723	0.009	0
220	KEMET	A700V227M002ATE015	Al electrolytic	2	4.24264	0.015	0
220	KEMET	A700V227M002ATE018	Al electrolytic	2	3.87298	0.018	0
33	KEMET	A700V336M006ATE018	Al electrolytic	6.3	3.87298	0.018	0
33	KEMET	A700V336M006ATE025	Al electrolytic	6.3	3.28634	0.025	0
33	KEMET	A700V336M006ATE028	Al electrolytic	6.3	3.10529	0.028	0
33	KEMET	A700V336M008ATE018	Al electrolytic	8	3.87298	0.018	0
33	KEMET	A700V336M008ATE025	Al electrolytic	8	3.28634	0.025	0
33	KEMET	A700V336M008ATE028	Al electrolytic	8	3.10529	0.028	0
33	KEMET	A700V336M010ATE018	Al electrolytic	10	3.87298	0.018	0
33	KEMET	A700V336M010ATE025	Al electrolytic	10	3.28634	0.025	0
33	KEMET	A700V336M010ATE028	Al electrolytic	10	3.10529	0.028	0
33	KEMET	A700V336M12RATE025	Al electrolytic	12.5	3.28634	0.025	0
47	KEMET	A700V476M006ATE018	Al electrolytic	6.3	3.87298	0.018	0
47	KEMET	A700V476M006ATE025	Al electrolytic	6.3	3.28634	0.025	0
47	KEMET	A700V476M006ATE028	Al electrolytic	6.3	3.10529	0.028	0
47	KEMET	A700V476M010ATE025	Al electrolytic	10	3.28634	0.025	0
47	KEMET	A700V476M010ATE028	Al electrolytic	10	3.10529	0.028	0
56	KEMET	A700V566M006ATE018	Al electrolytic	6.3	3.87298	0.018	0
56	KEMET	A700V566M006ATE025	Al electrolytic	6.3	3.28634	0.025	0
56	KEMET	A700V566M006ATE028	Al electrolytic	6.3	3.10529	0.028	0
6.8	KEMET	A700V685M016ATE070	Al electrolytic	16	1.96396	0.07	0
68	KEMET	A700V686M004ATE020	Al electrolytic	4	3.67423	0.02	0
68	KEMET	A700V686M004ATE028	Al electrolytic	4	3.10529	0.028	0
68	KEMET	A700V686M006ATE015	Al electrolytic	6.3	4.24264	0.015	0
68	KEMET	A700V686M006ATE018	Al electrolytic	6.3	3.87298	0.018	0
68	KEMET	A700V686M006ATE025	Al electrolytic	6.3	3.28634	0.025	0
68	KEMET	A700V686M006ATE028	Al electrolytic	6.3	3.10529	0.028	0
68	KEMET	A700V686M2R5ATE020	Al electrolytic	2.5	3.67423	0.02	0
68	KEMET	A700V686M2R5ATE028	Al electrolytic	2.5	3.10529	0.028	0
8.2	KEMET	A700V825M016ATE045	Al electrolytic	16	2.44949	0.045	0
